frame,id,x1,y1,x2,y2
1138,137,1530,840,1756,1042
1138,139,1197,564,1279,646
1138,141,457,628,574,709
1139,137,1557,864,1799,1073
1139,139,1203,571,1288,655
1139,141,476,616,589,691
114,24,1178,651,1276,746
114,26,1134,474,1179,515
1140,137,1584,890,1849,1080
1140,139,1209,578,1295,666
1140,141,495,602,602,676
1141,137,1616,918,1898,1079
1141,139,1213,587,1305,678
1141,141,511,590,615,660
1142,137,1652,954,1920,1080
1142,139,1219,594,1314,690
1142,141,527,576,624,646
1143,139,1226,605,1323,702
1143,141,543,566,634,632
1144,139,1233,615,1334,717
1144,141,555,558,646,620
1145,139,1242,626,1346,731
1145,141,568,547,654,608
1146,139,1249,636,1360,747
1146,141,579,540,664,598
1147,139,1258,648,1373,764
1147,141,590,530,670,588
1148,139,1267,661,1388,781
1148,141,601,525,685,581
1149,139,1278,675,1404,803
1149,141,613,519,693,573
115,24,1185,663,1289,765
115,26,1138,477,1182,519
1150,139,1289,689,1421,825
1150,141,624,512,696,563
1151,139,1301,706,1441,849
1151,141,632,506,702,554
1152,139,1314,724,1462,875
1152,141,639,500,708,547
1153,139,1328,740,1486,903
1153,141,649,495,715,539
1154,139,1344,759,1512,934
1154,141,660,489,720,533
1155,139,1361,780,1542,968
1155,141,665,485,727,528
1156,139,1381,807,1573,1005
1156,141,673,479,734,521
1157,139,1402,835,1609,1048
1157,141,680,478,739,515
1158,139,1427,864,1648,1075
1158,141,687,474,745,509
1159,139,1452,897,1684,1080
1159,141,695,468,750,505
116,24,1196,679,1305,785
116,26,1140,481,1186,522
1160,139,1480,932,1718,1079
1160,141,702,464,754,502
1161,141,708,461,760,498
1162,141,712,458,766,492
1163,141,717,455,769,488
1164,141,724,446,774,485
1165,141,731,442,780,480
1166,141,736,441,784,476
1167,141,742,439,788,473
1168,141,745,436,791,467
1169,141,749,431,796,464
117,24,1207,694,1322,806
117,26,1142,484,1193,526
1170,141,753,432,801,461
1171,141,758,432,805,459
1172,141,762,429,811,458
1173,141,769,426,815,455
1174,141,773,422,817,453
1176,141,780,418,825,448
1179,141,793,415,835,442
118,24,1219,710,1342,829
118,26,1145,488,1196,530
119,24,1231,728,1364,857
119,26,1150,490,1199,536
12,1,1107,624,1184,696
120,24,1246,748,1385,886
120,26,1155,492,1201,539
121,24,1265,771,1410,915
121,26,1158,494,1205,540
1217,147,1139,450,1177,487
1218,147,1140,451,1180,490
1219,147,1141,454,1182,491
122,24,1281,798,1437,952
122,26,1160,496,1209,545
1220,147,1142,459,1186,496
1221,147,1143,463,1189,499
1222,147,1147,469,1191,501
1223,147,1150,469,1194,503
1224,147,1153,470,1195,506
1225,147,1156,469,1200,509
1226,147,1158,471,1203,512
1227,147,1160,473,1206,515
1228,147,1162,476,1210,519
1229,147,1166,478,1212,523
123,24,1300,822,1472,990
123,26,1164,500,1214,549
1230,147,1168,482,1216,527
1231,147,1171,485,1218,530
1232,147,1173,491,1224,536
1233,147,1176,491,1227,539
1234,147,1179,493,1230,543
1235,147,1182,496,1235,547
1236,147,1186,501,1240,552
1237,147,1189,505,1243,556
1238,147,1193,510,1248,561
1239,147,1196,514,1252,565
1239,148,0,862,132,1004
124,24,1321,851,1510,1036
124,26,1168,502,1219,554
1240,147,1201,516,1259,571
1240,148,0,839,162,975
1241,147,1205,519,1265,577
1241,148,0,811,199,939
1242,147,1210,524,1271,584
1242,148,26,787,231,905
1243,147,1215,530,1278,590
1243,148,64,766,262,874
1244,147,1219,536,1285,595
1244,148,103,746,291,848
1245,147,1223,539,1293,602
1245,148,141,730,316,826
1246,147,1229,543,1299,609
1246,148,174,711,340,805
