frame,id,x1,y1,x2,y2
86,8,1488,819,1664,977
86,9,1468,1022,1559,1086
86,10,1069,477,1114,516
87,8,1514,843,1701,1010
87,9,1491,1046,1573,1104
87,10,1070,481,1116,520
88,8,1542,867,1742,1046
88,9,1515,1070,1587,1121
88,10,1071,483,1118,524
89,8,1578,894,1782,1074
89,9,1538,1094,1601,1139
89,10,1073,487,1121,529
90,8,1629,924,1819,1085
90,9,1562,1119,1615,1156
90,10,1073,491,1124,536
91,8,1678,959,1841,1088
91,9,1585,1143,1628,1173
91,10,1073,492,1129,541
92,8,1701,976,1864,1105
92,9,1609,1167,1642,1191
92,10,1075,494,1133,548
93,8,1724,994,1887,1123
93,9,1632,1191,1656,1208
93,10,1079,499,1137,552
94,8,1747,1011,1910,1141
94,9,1656,1215,1670,1225
94,10,1083,505,1139,557
95,8,1770,1029,1933,1159
95,9,1679,1239,1684,1243
95,10,1088,513,1141,562
96,8,1792,1046,1956,1177
96,9,1702,1264,1698,1260
96,10,1088,512,1149,568
97,8,1815,1064,1979,1194
97,9,1726,1288,1712,1278
97,10,1091,517,1153,575
98,8,1838,1081,2002,1212
98,9,1749,1312,1725,1295
98,10,1097,528,1154,582
99,8,1861,1099,2026,1230
99,9,1773,1336,1739,1312
99,10,1100,535,1157,589
100,8,1884,1116,2049,1248
100,9,1796,1360,1753,1330
100,10,1104,540,1163,596
101,8,1906,1134,2072,1266
101,9,1820,1384,1767,1347
101,10,1107,545,1170,605
102,8,1929,1152,2095,1283
102,9,1843,1409,1781,1364
102,10,1111,551,1175,612
103,8,1952,1169,2118,1301
103,9,1867,1433,1795,1382
103,10,1115,558,1180,621
104,8,1975,1187,2141,1319
104,9,1890,1457,1809,1399
104,10,1120,566,1187,630
105,8,1998,1204,2164,1337
105,9,1914,1481,1822,1417
105,10,1124,574,1194,641
106,8,2020,1222,2187,1355
106,9,1937,1505,1836,1434
106,10,1129,581,1203,652
107,8,2043,1239,2210,1372
107,9,1961,1529,1850,1451
107,10,1134,589,1212,664
108,8,2066,1257,2234,1390
108,9,1984,1554,1864,1469
108,10,1139,599,1220,676
108,11,1124,466,1167,503
109,8,2089,1274,2257,1408
109,9,2008,1578,1878,1486
109,10,1146,608,1229,689
109,11,1126,468,1170,505
110,8,2111,1292,2280,1426
110,9,2031,1602,1892,1504
110,10,1151,616,1240,701
110,11,1126,467,1175,509
111,8,2134,1309,2303,1444
111,9,2055,1626,1905,1521
111,10,1161,627,1253,716
111,11,1128,468,1178,511
112,8,2157,1327,2326,1461
112,9,2078,1650,1919,1538
112,10,1170,640,1265,730
112,11,1130,471,1179,514
113,8,2180,1344,2349,1479
113,9,2102,1674,1933,1556
113,10,1178,652,1276,746
113,11,1133,474,1181,515
114,8,2203,1362,2372,1497
114,9,2125,1699,1947,1573
114,10,1184,663,1290,765
114,11,1136,477,1184,519
115,8,2225,1380,2395,1515
115,9,2149,1723,1961,1590
115,10,1195,679,1306,785
115,11,1140,481,1187,522
116,8,2248,1397,2419,1533
116,9,2172,1747,1975,1608
116,10,1206,695,1322,806
116,11,1144,485,1192,526
117,8,2271,1415,2442,1551
117,10,1219,710,1342,829
117,11,1146,488,1195,530
118,8,2294,1432,2465,1568
118,10,1231,728,1364,857
118,11,1148,490,1201,536
119,8,2317,1450,2488,1586
119,10,1244,748,1387,886
119,11,1152,492,1205,539
120,8,2339,1467,2511,1604
120,10,1263,771,1411,915
120,11,1155,494,1207,540
121,8,2362,1485,2534,1622
121,10,1279,797,1438,952
121,11,1157,495,1212,545
122,10,1299,822,1473,990
122,11,1162,500,1216,549
123,10,1321,851,1510,1036
123,11,1165,502,1222,554
124,10,1351,883,1545,1070
124,11,1169,507,1226,559
125,10,1391,920,1567,1084
125,11,1174,509,1232,563
126,10,1405,937,1585,1105
126,11,1177,512,1237,568
127,10,1418,955,1603,1127
127,11,1181,515,1242,573
128,10,1432,972,1621,1148
128,11,1187,519,1250,579
129,10,1446,989,1640,1169
129,11,1190,523,1254,584
